Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Date,Time,Version Booster,Booster landing
28,KSC,EchoStar 23,"5,600 kg",GTO,"<a href=""/wiki/National_Reconnaissance_Office"" title=""National Reconnaissance Office"">NRO</a>",Success,16 March 2017,06:00,F9 FT,Success
29,KSC,SES-10,"5,300 kg",GTO,"<a href=""/wiki/Inmarsat"" title=""Inmarsat"">Inmarsat</a>",Success,30 March 2017,22:27,F9 FT♺,Success
30,KSC,NROL-76,C,LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,1 May 2017,11:15,F9 FT,Success
31,KSC,Inmarsat-5 F4,"6,070 kg",GTO,"<a href=""/wiki/Bulsatcom"" title=""Bulsatcom"">Bulsatcom</a>",Success,15 May 2017,23:21,F9 FT,Success
32,KSC,SpaceX CRS-11,"2,708 kg",LEO,"<a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>",Success,3 June 2017,21:07,F9 FT,Success
33,KSC,BulgariaSat-1,"3,669 kg",GTO,"<a href=""/wiki/Intelsat"" title=""Intelsat"">Intelsat</a>",Success,23 June 2017,19:10,F9 FTB1029.2,Success
34,VAFB,Iridium NEXT,"9,600 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,25 June 2017,20:25,F9 FT,Success
35,KSC,Intelsat 35e,"6,761 kg",GTO,"<a class=""mw-redirect"" href=""/wiki/National_Space_Organization"" title=""National Space Organization"">NSPO</a>",Success,5 July 2017,23:38,F9 FT,Success
36,KSC,SpaceX CRS-12,"3,310 kg",LEO,"<a href=""/wiki/United_States_Air_Force"" title=""United States Air Force"">USAF</a>",Success,14 August 2017,16:31,F9 B4,Success
37,VAFB,Formosat-5,475 kg,SSO,"<a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>",Success,24 August 2017,18:51,F9 FT,Success
38,KSC,Boeing X-37B,"4,990 kg",LEO,"<a href=""/wiki/SES_S.A."" title=""SES S.A."">SES S.A.</a>",Success,7 September 2017,14:00,F9 B4,Success
39,VAFB,Iridium NEXT,"9,600 kg",Polar,"<a href=""/wiki/KT_Corporation"" title=""KT Corporation"">KT Corporation</a>",Success,9 October 2017,12:37,F9 B4,Success
40,KSC,SES-11,"5,200 kg",GTO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,11 October 2017,22:53:00,F9 FTB1031.2,Success
41,KSC,Koreasat 5A,"3,500 kg",GTO,"<a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>",Success,30 October 2017,19:34,F9 B4,Success
42,Cape Canaveral,SpaceX CRS-13,"2,205 kg",LEO,"<a href=""/wiki/Northrop_Grumman"" title=""Northrop Grumman"">Northrop Grumman</a>",Success,15 December 2017,15:36,F9 FTB1035.2,Success
43,VAFB,Iridium NEXT,"9,600 kg",Polar,"<a href=""/wiki/SES_S.A."" title=""SES S.A."">SES</a>",Success,23 December 2017,01:27,F9 FTB1036.2,Success
44,CCAFS,Zuma,C,LEO,"<a href=""/wiki/Hisdesat"" title=""Hisdesat"">Hisdesat</a>",Success,8 January 2018,01:00,F9 B4,Success
45,CCAFS,GovSat-1,"4,230 kg",GTO,"<a href=""/wiki/Hispasat"" title=""Hispasat"">Hispasat</a>",Success,31 January 2018,21:25,F9 FTB1032.2,Success
46,VAFB,Paz,"2,150 kg",SSO,"<a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>",Success,22 February 2018,14:17,F9 FTB1038.2,Success
47,CCAFS,Hispasat 30W-6,"6,092 kg",GTO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,6 March 2018,05:33,F9 B4,Success
48,VAFB,Iridium NEXT,"9,600 kg",Polar,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,30 March 2018,14:14,F9 B4B1041.2,Success
49,CCAFS,SpaceX CRS-14,"2,647 kg",LEO,"<a href=""/wiki/Thales_Alenia_Space"" title=""Thales Alenia Space"">Thales-Alenia</a>",Success,2 April 2018,20:30,F9 B4B1039.2,Success
50,CCAFS,Transiting Exoplanet Survey Satellite,362 kg,HEO,"<a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>",Success,18 April 2018,22:51,F9 B4,Success
51,KSC,Bangabandhu-1,"3,600 kg",GTO,"<a href=""/wiki/SES_S.A."" title=""SES S.A."">SES</a>",Success,11 May 2018,20:14,F9 B5B1046.1,Success
52,VAFB,Iridium NEXT,"6,460 kg",Polar,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,22 May 2018,19:47,F9 B4B1043.2,Success
53,CCAFS,SES-12,"5,384 kg",GTO,"<a href=""/wiki/Telesat"" title=""Telesat"">Telesat</a>",Success,4 June 2018,04:45,F9 B4B1040.2,Success
54,CCAFS,SpaceX CRS-15,"2,697 kg",LEO,"<a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>",Success,29 June 2018,09:42,F9 B4B1045.2,Success
55,CCAFS,Telstar 19V,"7,075 kg",GTO,"<a href=""/wiki/Telkom_Indonesia"" title=""Telkom Indonesia"">Telkom Indonesia</a>",Success,22 July 2018,05:50,F9 B5,Success
56,VAFB,Iridium NEXT,"9,600 kg",Polar,"<a href=""/wiki/Telesat"" title=""Telesat"">Telesat</a>",Success,25 July 2018,11:39,F9 B5B1048,Success
57,CCAFS,Merah Putih,"5,800 kg",GTO,"<a href=""/wiki/Comisi%C3%B3n_Nacional_de_Actividades_Espaciales"" title=""Comisión Nacional de Actividades Espaciales"">CONAE</a>",Success,7 August 2018,05:18,F9 B5B1046.2,Success
58,CCAFS,Telstar 18V,"7,060 kg",GTO,"<a href=""/wiki/Es%27hailSat"" title=""Es'hailSat"">Es'hailSat</a>",Success,10 September 2018,04:45,F9 B5,Success
59,VAFB,SAOCOM 1A,"3,000 kg",SSO,"<a href=""/wiki/Spaceflight_Industries"" title=""Spaceflight Industries"">Spaceflight Industries</a>",Success,8 October 2018,02:22,F9 B5B1048.2,Success
60,KSC,Es'hail 2,"5,300 kg",GTO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,15 November 2018,20:46,F9 B5B1047.2,Success
61,VAFB,SSO-A,"~4,000 kg",SSO,"<a href=""/wiki/United_States_Air_Force"" title=""United States Air Force"">USAF</a>",Success,3 December 2018,18:34:05,F9 B5B1046.3,Success
62,CCAFS,SpaceX CRS-16,"2,500 kg",LEO,"<a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>",Success,5 December 2018,18:16,F9 B5,Success
63,CCAFS,GPS III,"4,400 kg",MEO,"<a href=""/wiki/PT_Pasifik_Satelit_Nusantara"" title=""PT Pasifik Satelit Nusantara"">PSN</a>",Success,23 December 2018,13:51,F9 B5,Success
64,VAFB,Iridium NEXT,"9,600 kg",Polar,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,11 January 2019,15:31,F9 B5B1049.2,Success
